date,store,item,sales
2013-01-01,1,1,13
2013-01-02,1,1,11
2013-01-03,1,1,14
2013-01-04,1,1,13
2013-01-05,1,1,10
2013-01-06,1,1,12
2013-01-07,1,1,10
2013-01-08,1,1,9
2013-01-09,1,1,12
2013-01-10,1,1,9
2013-01-11,1,1,9
2013-01-12,1,1,7
2013-01-13,1,1,10
2013-01-14,1,1,12
2013-01-15,1,1,5
2013-01-16,1,1,7
2013-01-17,1,1,16
2013-01-18,1,1,7
2013-01-19,1,1,18
2013-01-20,1,1,15
2013-01-21,1,1,8
2013-01-22,1,1,7
2013-01-23,1,1,9
2013-01-24,1,1,8
2013-01-25,1,1,14
2013-01-26,1,1,12
2013-01-27,1,1,12
2013-01-28,1,1,11
2013-01-29,1,1,6
2013-01-30,1,1,9
2013-01-31,1,1,13
2013-02-01,1,1,11
2013-02-02,1,1,21
2013-02-03,1,1,15
2013-02-04,1,1,14
2013-02-05,1,1,9
2013-02-06,1,1,10
2013-02-07,1,1,13
2013-02-08,1,1,11
2013-02-09,1,1,14
2013-02-10,1,1,11
2013-02-11,1,1,16
2013-02-12,1,1,11
2013-02-13,1,1,14
2013-02-14,1,1,10
2013-02-15,1,1,11
2013-02-16,1,1,7
2013-02-17,1,1,11
2013-02-18,1,1,10
2013-02-19,1,1,10
2013-02-20,1,1,7
2013-02-21,1,1,13
2013-02-22,1,1,12
2013-02-23,1,1,15
2013-02-24,1,1,11
2013-02-25,1,1,7
2013-02-26,1,1,9
2013-02-27,1,1,9
2013-02-28,1,1,10
2013-01-01,2,1,12
2013-01-02,2,1,16
2013-01-03,2,1,16
2013-01-04,2,1,20
2013-01-05,2,1,16
2013-01-06,2,1,18
2013-01-07,2,1,12
2013-01-08,2,1,11
2013-01-09,2,1,16
2013-01-10,2,1,10
2013-01-11,2,1,15
2013-01-12,2,1,22
2013-01-13,2,1,30
2013-01-14,2,1,14
2013-01-15,2,1,17
2013-01-16,2,1,14
2013-01-17,2,1,14
2013-01-18,2,1,12
2013-01-19,2,1,18
2013-01-20,2,1,24
2013-01-21,2,1,13
2013-01-22,2,1,11
2013-01-23,2,1,19
2013-01-24,2,1,14
2013-01-25,2,1,17
2013-01-26,2,1,14
2013-01-27,2,1,12
2013-01-28,2,1,15
2013-01-29,2,1,18
2013-01-30,2,1,10
2013-01-31,2,1,16
2013-02-01,2,1,16
2013-02-02,2,1,23
2013-02-03,2,1,14
2013-02-04,2,1,18
2013-02-05,2,1,16
2013-02-06,2,1,12
2013-02-07,2,1,19
2013-02-08,2,1,13
2013-02-09,2,1,15
2013-02-10,2,1,21
2013-02-11,2,1,11
2013-02-12,2,1,14
2013-02-13,2,1,19
2013-02-14,2,1,14
2013-02-15,2,1,17
2013-02-16,2,1,25
2013-02-17,2,1,26
2013-02-18,2,1,13
2013-02-19,2,1,22
2013-02-20,2,1,21
2013-02-21,2,1,9
2013-02-22,2,1,21
2013-02-23,2,1,15
2013-02-24,2,1,20
2013-02-25,2,1,17
2013-02-26,2,1,16
2013-02-27,2,1,11
2013-02-28,2,1,22
2013-01-01,3,1,19
2013-01-02,3,1,8
2013-01-03,3,1,10
2013-01-04,3,1,15
2013-01-05,3,1,22
2013-01-06,3,1,22
2013-01-07,3,1,7
2013-01-08,3,1,15
2013-01-09,3,1,9
2013-01-10,3,1,7
2013-01-11,3,1,19
2013-01-12,3,1,16
2013-01-13,3,1,14
2013-01-14,3,1,9
2013-01-15,3,1,14
2013-01-16,3,1,13
2013-01-17,3,1,18
2013-01-18,3,1,19
2013-01-19,3,1,19
2013-01-20,3,1,18
2013-01-21,3,1,14
2013-01-22,3,1,13
2013-01-23,3,1,17
