value,split,value_feature
57,0,57 43 55 64 93 104 89 87 57 68
43,0,57 43 55 64 93 104 89 87 57 68
55,0,57 43 55 64 93 104 89 87 57 68
64,0,57 43 55 64 93 104 89 87 57 68
93,0,57 43 55 64 93 104 89 87 57 68
104,0,57 43 55 64 93 104 89 87 57 68
89,0,57 43 55 64 93 104 89 87 57 68
87,0,57 43 55 64 93 104 89 87 57 68
57,0,57 43 55 64 93 104 89 87 57 68
68,0,57 43 55 64 93 104 89 87 57 68
64,0,57 43 55 64 93 104 89 87 57 68
61,0,43 55 64 93 104 89 87 57 68 64
73,0,55 64 93 104 89 87 57 68 64 61
79,0,64 93 104 89 87 57 68 64 61 73
80,0,93 104 89 87 57 68 64 61 73 79
76,0,104 89 87 57 68 64 61 73 79 80
49,0,89 87 57 68 64 61 73 79 80 76
59,0,87 57 68 64 61 73 79 80 76 49
55,0,57 68 64 61 73 79 80 76 49 59
48,0,68 64 61 73 79 80 76 49 59 55
41,0,64 61 73 79 80 76 49 59 55 48
49,0,61 73 79 80 76 49 59 55 48 41
63,0,73 79 80 76 49 59 55 48 41 49
36,0,79 80 76 49 59 55 48 41 49 63
42,0,80 76 49 59 55 48 41 49 63 36
50,0,76 49 59 55 48 41 49 63 36 42
35,0,49 59 55 48 41 49 63 36 42 50
41,0,59 55 48 41 49 63 36 42 50 35
39,0,55 48 41 49 63 36 42 50 35 41
48,0,48 41 49 63 36 42 50 35 41 39
31,0,41 49 63 36 42 50 35 41 39 48
35,0,49 63 36 42 50 35 41 39 48 31
32,0,63 36 42 50 35 41 39 48 31 35
36,0,36 42 50 35 41 39 48 31 35 32
37,0,42 50 35 41 39 48 31 35 32 36
62,0,50 35 41 39 48 31 35 32 36 37
41,0,35 41 39 48 31 35 32 36 37 62
51,0,41 39 48 31 35 32 36 37 62 41
65,0,39 48 31 35 32 36 37 62 41 51
39,0,48 31 35 32 36 37 62 41 51 65
56,0,31 35 32 36 37 62 41 51 65 39
42,0,35 32 36 37 62 41 51 65 39 56
62,0,32 36 37 62 41 51 65 39 56 42
46,0,36 37 62 41 51 65 39 56 42 62
46,0,37 62 41 51 65 39 56 42 62 46
62,0,62 41 51 65 39 56 42 62 46 46
41,0,41 51 65 39 56 42 62 46 46 62
40,0,51 65 39 56 42 62 46 46 62 41
47,0,65 39 56 42 62 46 46 62 41 40
48,0,39 56 42 62 46 46 62 41 40 47
43,0,56 42 62 46 46 62 41 40 47 48
41,0,42 62 46 46 62 41 40 47 48 43
55,0,62 46 46 62 41 40 47 48 43 41
90,0,46 46 62 41 40 47 48 43 41 55
79,0,46 62 41 40 47 48 43 41 55 90
57,0,62 41 40 47 48 43 41 55 90 79
43,0,41 40 47 48 43 41 55 90 79 57
39,0,40 47 48 43 41 55 90 79 57 43
57,0,47 48 43 41 55 90 79 57 43 39
56,0,48 43 41 55 90 79 57 43 39 57
102,0,43 41 55 90 79 57 43 39 57 56
85,0,41 55 90 79 57 43 39 57 56 102
79,0,55 90 79 57 43 39 57 56 102 85
82,0,90 79 57 43 39 57 56 102 85 79
60,0,79 57 43 39 57 56 102 85 79 82
47,0,57 43 39 57 56 102 85 79 82 60
43,0,43 39 57 56 102 85 79 82 60 47
49,0,39 57 56 102 85 79 82 60 47 43
60,0,57 56 102 85 79 82 60 47 43 49
55,0,56 102 85 79 82 60 47 43 49 60
63,0,102 85 79 82 60 47 43 49 60 55
57,0,85 79 82 60 47 43 49 60 55 63
61,0,79 82 60 47 43 49 60 55 63 57
59,0,82 60 47 43 49 60 55 63 57 61
35,0,60 47 43 49 60 55 63 57 61 59
69,0,47 43 49 60 55 63 57 61 59 35
48,0,43 49 60 55 63 57 61 59 35 69
47,0,49 60 55 63 57 61 59 35 69 48
44,0,60 55 63 57 61 59 35 69 48 47
47,0,55 63 57 61 59 35 69 48 47 44
51,0,63 57 61 59 35 69 48 47 44 47
54,0,57 61 59 35 69 48 47 44 47 51
41,0,61 59 35 69 48 47 44 47 51 54
53,0,59 35 69 48 47 44 47 51 54 41
49,0,35 69 48 47 44 47 51 54 41 53
23,0,69 48 47 44 47 51 54 41 53 49
31,0,48 47 44 47 51 54 41 53 49 23
38,0,47 44 47 51 54 41 53 49 23 31
57,0,44 47 51 54 41 53 49 23 31 38
56,0,47 51 54 41 53 49 23 31 38 57
70,0,51 54 41 53 49 23 31 38 57 56
57,0,54 41 53 49 23 31 38 57 56 70
64,0,41 53 49 23 31 38 57 56 70 57
79,0,53 49 23 31 38 57 56 70 57 64
65,0,49 23 31 38 57 56 70 57 64 79
70,0,23 31 38 57 56 70 57 64 79 65
51,0,31 38 57 56 70 57 64 79 65 70
43,0,38 57 56 70 57 64 79 65 70 51
60,0,57 56 70 57 64 79 65 70 51 43
49,0,56 70 57 64 79 65 70 51 43 60
37,0,70 57 64 79 65 70 51 43 60 49
54,0,57 64 79 65 70 51 43 60 49 37
58,0,64 79 65 70 51 43 60 49 37 54
67,0,79 65 70 51 43 60 49 37 54 58
72,0,65 70 51 43 60 49 37 54 58 67
49,0,70 51 43 60 49 37 54 58 67 72
45,0,51 43 60 49 37 54 58 67 72 49
48,0,43 60 49 37 54 58 67 72 49 45
29,0,60 49 37 54 58 67 72 49 45 48
23,0,49 37 54 58 67 72 49 45 48 29
26,0,37 54 58 67 72 49 45 48 29 23
28,0,54 58 67 72 49 45 48 29 23 26
27,0,58 67 72 49 45 48 29 23 26 28
18,0,67 72 49 45 48 29 23 26 28 27
37,0,72 49 45 48 29 23 26 28 27 18
35,0,49 45 48 29 23 26 28 27 18 37
25,0,45 48 29 23 26 28 27 18 37 35
28,0,48 29 23 26 28 27 18 37 35 25
27,0,29 23 26 28 27 18 37 35 25 28
35,0,23 26 28 27 18 37 35 25 28 27
41,0,26 28 27 18 37 35 25 28 27 35
34,0,28 27 18 37 35 25 28 27 35 41
42,0,27 18 37 35 25 28 27 35 41 34
58,0,18 37 35 25 28 27 35 41 34 42
59,0,37 35 25 28 27 35 41 34 42 58
27,0,35 25 28 27 35 41 34 42 58 59
49,0,25 28 27 35 41 34 42 58 59 27
52,0,28 27 35 41 34 42 58 59 27 49
25,0,27 35 41 34 42 58 59 27 49 52
36,0,35 41 34 42 58 59 27 49 52 25
