,value,split,value_feature
0,57,0,57 43 55 64 93 104 89 87 57 68
1,43,0,57 43 55 64 93 104 89 87 57 68
2,55,0,57 43 55 64 93 104 89 87 57 68
3,64,0,57 43 55 64 93 104 89 87 57 68
4,93,0,57 43 55 64 93 104 89 87 57 68
5,104,0,57 43 55 64 93 104 89 87 57 68
6,89,0,57 43 55 64 93 104 89 87 57 68
7,87,0,57 43 55 64 93 104 89 87 57 68
8,57,0,57 43 55 64 93 104 89 87 57 68
9,68,0,57 43 55 64 93 104 89 87 57 68
10,64,0,57 43 55 64 93 104 89 87 57 68
11,61,0,43 55 64 93 104 89 87 57 68 64
12,73,0,55 64 93 104 89 87 57 68 64 61
13,79,0,64 93 104 89 87 57 68 64 61 73
14,80,0,93 104 89 87 57 68 64 61 73 79
15,76,0,104 89 87 57 68 64 61 73 79 80
16,49,0,89 87 57 68 64 61 73 79 80 76
17,59,0,87 57 68 64 61 73 79 80 76 49
18,55,0,57 68 64 61 73 79 80 76 49 59
19,48,0,68 64 61 73 79 80 76 49 59 55
20,41,0,64 61 73 79 80 76 49 59 55 48
21,49,0,61 73 79 80 76 49 59 55 48 41
22,63,0,73 79 80 76 49 59 55 48 41 49
23,36,0,79 80 76 49 59 55 48 41 49 63
24,42,0,80 76 49 59 55 48 41 49 63 36
25,50,0,76 49 59 55 48 41 49 63 36 42
26,35,0,49 59 55 48 41 49 63 36 42 50
27,41,0,59 55 48 41 49 63 36 42 50 35
28,39,0,55 48 41 49 63 36 42 50 35 41
29,48,0,48 41 49 63 36 42 50 35 41 39
30,31,0,41 49 63 36 42 50 35 41 39 48
31,35,0,49 63 36 42 50 35 41 39 48 31
32,32,0,63 36 42 50 35 41 39 48 31 35
33,36,0,36 42 50 35 41 39 48 31 35 32
34,37,0,42 50 35 41 39 48 31 35 32 36
35,62,0,50 35 41 39 48 31 35 32 36 37
36,41,0,35 41 39 48 31 35 32 36 37 62
37,51,0,41 39 48 31 35 32 36 37 62 41
38,65,0,39 48 31 35 32 36 37 62 41 51
39,39,0,48 31 35 32 36 37 62 41 51 65
40,56,0,31 35 32 36 37 62 41 51 65 39
41,42,0,35 32 36 37 62 41 51 65 39 56
42,62,0,32 36 37 62 41 51 65 39 56 42
43,46,0,36 37 62 41 51 65 39 56 42 62
44,46,0,37 62 41 51 65 39 56 42 62 46
45,62,0,62 41 51 65 39 56 42 62 46 46
46,41,0,41 51 65 39 56 42 62 46 46 62
47,40,0,51 65 39 56 42 62 46 46 62 41
48,47,0,65 39 56 42 62 46 46 62 41 40
49,48,0,39 56 42 62 46 46 62 41 40 47
50,43,0,56 42 62 46 46 62 41 40 47 48
51,41,0,42 62 46 46 62 41 40 47 48 43
52,55,0,62 46 46 62 41 40 47 48 43 41
53,90,0,46 46 62 41 40 47 48 43 41 55
54,79,0,46 62 41 40 47 48 43 41 55 90
55,57,0,62 41 40 47 48 43 41 55 90 79
56,43,0,41 40 47 48 43 41 55 90 79 57
57,39,0,40 47 48 43 41 55 90 79 57 43
58,57,0,47 48 43 41 55 90 79 57 43 39
59,56,0,48 43 41 55 90 79 57 43 39 57
60,102,0,43 41 55 90 79 57 43 39 57 56
61,85,0,41 55 90 79 57 43 39 57 56 102
62,79,0,55 90 79 57 43 39 57 56 102 85
63,82,0,90 79 57 43 39 57 56 102 85 79
64,60,0,79 57 43 39 57 56 102 85 79 82
