id,time,F_x,F_y,F_z,T_x,T_y,T_z,target
2,0,-1,-1,63,-2,-1,0,True
2,1,-1,-1,63,-3,-1,0,True
2,2,-1,-1,61,-3,0,0,True
2,3,0,-4,63,1,0,0,True
2,4,0,-1,59,-2,0,-1,True
2,5,-3,3,57,-8,-3,-1,True
2,6,-1,3,70,-10,-2,-1,True
2,7,0,-3,61,0,0,0,True
2,8,0,-2,53,-1,-2,0,True
2,9,0,-3,66,1,4,0,True
2,10,-3,3,58,-10,-5,0,True
2,11,-1,-1,66,-4,-2,0,True
2,12,-1,-2,67,-3,-1,0,True
2,13,0,1,66,-6,-3,-1,True
2,14,-1,-1,59,-3,-4,0,True
4,0,0,-1,59,-2,-1,-1,True
4,1,0,-3,61,-1,2,0,True
4,2,-2,1,56,-6,-3,0,True
4,3,1,-3,64,-1,4,0,True
4,4,-1,1,62,-7,1,-1,True
4,5,-1,0,60,-9,-5,-1,True
4,6,1,1,56,-5,0,0,True
4,7,1,-1,66,-4,2,1,True
4,8,-2,5,64,-15,-2,0,True
4,9,-1,2,58,-8,-4,0,True
4,10,0,1,70,-9,-2,-1,True
4,11,-1,1,64,-8,-6,-1,True
4,12,0,-1,67,-6,0,-1,True
4,13,0,-2,63,-4,0,0,True
4,14,-1,1,63,-8,-2,0,True
5,0,0,-2,65,-4,-2,0,True
5,1,-1,-2,56,-5,-3,0,True
5,2,0,0,58,-9,-1,0,True
5,3,-1,-1,56,-5,-3,0,True
5,4,-2,3,57,-12,-4,-1,True
5,5,-1,-2,65,-5,-2,0,True
5,6,-1,2,56,-9,-5,0,True
5,7,2,-2,60,-2,3,1,True
5,8,0,1,67,-9,-2,1,True
5,9,-1,2,60,-10,-5,0,True
5,10,0,-3,63,-3,-1,0,True
5,11,-1,-1,73,-8,-5,0,True
5,12,-1,0,57,-7,-4,-1,True
5,13,-1,0,59,-8,-4,-1,True
5,14,-1,1,57,-9,-4,-1,True
6,0,-1,2,57,-10,-3,0,True
6,1,-2,3,60,-12,-4,-1,True
6,2,-1,2,63,-12,-6,1,True
6,3,1,3,62,-11,0,0,True
6,4,-3,2,56,-9,-4,0,True
6,5,0,1,58,-8,-1,-1,True
6,6,-1,3,57,-11,-4,0,True
6,7,-2,3,61,-10,-5,0,True
6,8,-3,3,60,-11,-4,0,True
6,9,1,2,64,-9,0,-1,True
6,10,-1,2,60,-9,-5,0,True
6,11,-1,3,63,-12,-6,0,True
6,12,-1,0,52,-8,-2,0,True
6,13,-2,3,58,-13,-5,0,True
6,14,1,-2,59,-7,0,-1,True
7,0,-3,1,53,-10,-4,0,True
7,1,0,-2,65,-4,-1,0,True
